World Rank,Institution,Location,National Rank,Education Rank,Employability Rank,Faculty Rank,Research Rank,Score
275 Top 1.4%,Leipzig University,Germany,21,208,-,208,280,77.3
276 Top 1.4%,National Autonomous University of Mexico,Mexico,1,400,1593,237,261,77.3
277 Top 1.4%,P.N. Lebedev Physical Institute of the Russian Academy of Sciences,Russia,2,34,-,118,558,77.2
278 Top 1.4%,National and Kapodistrian University of Athens,Greece,1,-,565,-,228,77.2
279 Top 1.4%,King Abdullah University of Science and Technology,Saudi Arabia,2,-,-,171,297,77.2
280 Top 1.4%,HEC Paris,France,15,-,7,-,-,77.2
281 Top 1.4%,University of Tsukuba,Japan,11,-,-,150,315,77.2
282 Top 1.4%,University of Manitoba,Canada,11,337,308,193,308,77.1
283 Top 1.4%,University of Lorraine,France,16,542,498,177,306,77.1
284 Top 1.4%,University of East Anglia,United Kingdom,25,88,-,173,360,77.1
285 Top 1.4%,University of Valencia,Spain,4,-,1504,-,230,77.1
286 Top 1.4%,University of Bergen,Norway,3,383,-,-,232,77.1
287 Top 1.4%,George Washington University,USA,91,406,147,-,283,77.1
288 Top 1.5%,University College Dublin,Ireland,2,-,269,-,258,77.0
289 Top 1.5%,Medical University of Vienna,Austria,2,-,-,-,234,77.0
290 Top 1.5%,University of the Witwatersrand,South Africa,2,199,98,-,335,77.0
291 Top 1.5%,Autonomous University of Madrid,Spain,5,-,1089,-,239,77.0
292 Top 1.5%,University of Antwerp,Belgium,5,515,434,-,248,77.0
293 Top 1.5%,Beijing Institute of Technology,China,33,-,844,-,242,77.0
294 Top 1.5%,University of Electronic Science and Technology of China,China,34,-,633,-,244,76.9
295 Top 1.5%,Florida State University,USA,92,-,515,-,250,76.9
296 Top 1.5%,University of Liège,Belgium,6,183,-,105,381,76.9
297 Top 1.5%,University of Southern Denmark,Denmark,4,-,1650,-,243,76.9
298 Top 1.5%,Hunan University,China,35,-,569,-,249,76.9
299 Top 1.5%,Laval University,Canada,12,550,354,-,260,76.9
300 Top 1.5%,Zhengzhou University,China,36,-,1164,-,246,76.8
301 Top 1.5%,University of Massachusetts Medical School,USA,93,-,-,85,396,76.8
302 Top 1.5%,Washington State University,USA,94,-,1036,184,319,76.8
303 Top 1.5%,"University of Maryland, Baltimore",USA,95,-,-,-,251,76.8
304 Top 1.5%,Beijing Normal University,China,37,-,1172,-,255,76.8
305 Top 1.5%,University at Buffalo,USA,96,-,625,-,262,76.8
306 Top 1.5%,"University of California, Santa Cruz",USA,97,378,1299,271,273,76.8
307 Top 1.5%,University of Aberdeen,United Kingdom,26,289,799,157,356,76.7
308 Top 1.6%,University of Delaware,USA,98,382,438,167,357,76.7
309 Top 1.6%,University of Porto,Portugal,2,523,766,-,263,76.7
310 Top 1.6%,University of Kentucky,USA,99,292,529,-,270,76.7
311 Top 1.6%,University of Pavia,Italy,10,476,841,220,305,76.7
312 Top 1.6%,Hanyang University,South Korea,6,-,198,-,291,76.7
313 Top 1.6%,University of Lille,France,17,-,-,-,264,76.6
314 Top 1.6%,University of South Florida,USA,100,-,856,-,265,76.6
315 Top 1.6%,University of Duisburg-Essen,Germany,22,-,904,-,267,76.6
316 Top 1.6%,Chongqing University,China,38,-,432,-,276,76.6
317 Top 1.6%,National Yang Ming Chiao Tung University,Taiwan,2,-,214,-,295,76.6
318 Top 1.6%,Ruhr University Bochum,Germany,23,-,436,-,278,76.6
319 Top 1.6%,University of Nebraska–Lincoln,USA,101,185,385,-,290,76.5
320 Top 1.6%,Wayne State University,USA,102,486,440,-,284,76.5
321 Top 1.6%,Shenzhen University,China,39,-,826,-,279,76.5
322 Top 1.6%,University of New Mexico,USA,103,539,-,-,281,76.5
323 Top 1.6%,Northeastern University,USA,104,319,197,-,326,76.5
324 Top 1.6%,University of York,United Kingdom,27,227,-,-,287,76.5
325 Top 1.6%,Queen's University,Canada,13,513,378,216,359,76.5
326 Top 1.6%,China Agricultural University,China,40,-,1317,-,285,76.4
327 Top 1.6%,London School of Economics and Political Science,United Kingdom,28,265,85,261,435,76.4
328 Top 1.6%,Friedrich Schiller University Jena,Germany,24,534,-,264,311,76.4
329 Top 1.7%,Polytechnic University of Milan,Italy,11,397,431,204,366,76.4
330 Top 1.7%,Ulm University,Germany,25,-,1103,-,288,76.4
331 Top 1.7%,Northwestern Polytechnical University,China,41,-,614,-,294,76.4
332 Top 1.7%,École des ponts ParisTech,France,18,194,23,-,949,76.4
333 Top 1.7%,Curtin University,Australia,9,-,1155,-,292,76.3
334 Top 1.7%,Lanzhou University,China,42,-,1011,-,293,76.3
335 Top 1.7%,Durham University,United Kingdom,29,344,372,-,314,76.3
336 Top 1.7%,University of Granada,Spain,6,-,-,-,298,76.3
337 Top 1.7%,University of Technology Sydney,Australia,10,-,911,-,299,76.3
338 Top 1.7%,Umeå University,Sweden,7,-,1212,273,316,76.3
339 Top 1.7%,University of Rome Tor Vergata,Italy,12,-,1658,-,302,76.2
340 Top 1.7%,University of Milano-Bicocca,Italy,13,-,-,-,303,76.2
341 Top 1.7%,Lancaster University,United Kingdom,30,-,647,-,313,76.2
342 Top 1.7%,Islamic Azad University,Iran,1,-,-,-,304,76.2
343 Top 1.7%,Southern Methodist University,USA,105,195,33,-,697,76.2
344 Top 1.7%,University of Campinas,Brazil,2,-,1665,-,307,76.2
345 Top 1.7%,Macquarie University,Australia,11,-,524,-,324,76.2
346 Top 1.7%,University of Düsseldorf,Germany,26,223,-,-,323,76.1
347 Top 1.7%,University of the Basque Country,Spain,7,-,1118,-,310,76.1
348 Top 1.7%,Dalhousie University,Canada,14,318,359,-,331,76.1
349 Top 1.7%,Versailles Saint-Quentin-en-Yvelines University,France,19,-,-,-,309,76.1
350 Top 1.8%,Aalto University,Finland,2,-,207,-,350,76.1
351 Top 1.8%,University of South Carolina - Columbia,USA,106,-,629,-,318,76.1
352 Top 1.8%,King Saud University,Saudi Arabia,3,-,344,-,332,76.1
353 Top 1.8%,Temple University,USA,107,-,600,-,325,76.0
354 Top 1.8%,Eindhoven University of Technology,Netherlands,11,-,942,228,369,76.0
355 Top 1.8%,East China Normal University,China,43,-,364,-,336,76.0
356 Top 1.8%,Aalborg University,Denmark,5,-,921,-,320,76.0
357 Top 1.8%,Peking Union Medical College,China,44,-,-,-,317,76.0
358 Top 1.8%,Capital Medical University,China,45,-,-,-,321,76.0
359 Top 1.8%,University of Science and Technology Beijing,China,46,-,200,-,361,76.0
360 Top 1.8%,Nantes University,France,20,-,1679,-,327,76.0
361 Top 1.8%,National Cheng Kung University,Taiwan,3,-,145,-,389,75.9
362 Top 1.8%,University of Belgrade,Serbia,1,492,-,-,328,75.9
363 Top 1.8%,Ben-Gurion University of the Negev,Israel,5,-,-,205,401,75.9
364 Top 1.8%,Drexel University,USA,108,-,267,226,414,75.9
365 Top 1.8%,Queen's University Belfast,United Kingdom,31,403,1046,-,329,75.9
366 Top 1.8%,University of St Andrews,United Kingdom,32,287,875,229,388,75.9
367 Top 1.8%,Deakin University,Australia,12,-,1097,-,330,75.9
368 Top 1.8%,Hannover Medical School,Germany,27,-,-,273,346,75.8
369 Top 1.8%,University of Dundee,United Kingdom,33,511,993,138,449,75.8
370 Top 1.9%,Vrije Universiteit Brussel,Belgium,7,467,1688,-,333,75.8
371 Top 1.9%,Simon Fraser University,Canada,15,-,1165,-,337,75.8
372 Top 1.9%,Linköping University,Sweden,8,-,644,-,340,75.8
373 Top 1.9%,Queensland University of Technology,Australia,13,-,1142,-,338,75.8
374 Top 1.9%,Technical University of Catalonia (UPC),Spain,8,-,583,-,345,75.8
