World Rank,Institution,Location,National Rank,Education Rank,Employability Rank,Faculty Rank,Research Rank,Score
1449 Top 7.1%,Pontifical Catholic University of Valparaíso,Chile,9,-,-,-,1388,68.1
1450 Top 7.1%,Savitribai Phule Pune University,India,38,548,1254,-,1391,68.1
1451 Top 7.1%,Texas Christian University,USA,269,-,-,-,1389,68.1
1452 Top 7.1%,Helwan University,Egypt,12,-,-,-,1390,68.1
1453 Top 7.1%,Fukuoka University,Japan,77,-,-,-,1392,68.1
1454 Top 7.1%,Central Michigan University,USA,270,-,923,-,1404,68.1
1455 Top 7.1%,Karadeniz Technical University,Turkey,32,-,1189,-,1395,68.1
1456 Top 7.1%,Hebei Normal University,China,227,-,1096,-,1399,68.1
1457 Top 7.1%,North University of China,China,228,-,-,-,1396,68.1
1458 Top 7.2%,Transilvania University of Brașov,Romania,6,-,-,-,1397,68.1
1459 Top 7.2%,National University of Rosario,Argentina,4,-,-,-,1400,68.1
1460 Top 7.2%,"Institute of Physics, Azerbaijan National Academy of Sciences",Azerbaijan,1,-,-,-,1401,68.1
1461 Top 7.2%,Medical University of Lublin,Poland,26,-,-,-,1402,68.1
1462 Top 7.2%,SRM Institute of Science and Technology,India,39,-,-,-,1403,68.1
1463 Top 7.2%,Ilia State University,Georgia,2,-,-,-,1405,68.1
1464 Top 7.2%,Western Michigan University,USA,271,-,1311,-,1406,68.1
1465 Top 7.2%,Army Engineering University of PLA,China,229,-,-,-,1408,68.0
1466 Top 7.2%,Beni Suef University,Egypt,13,-,-,-,1409,68.0
1467 Top 7.2%,Taras Shevchenko National University of Kyiv,Ukraine,3,481,-,-,1410,68.0
1468 Top 7.2%,University of Veterinary Medicine Hanover,Germany,62,380,-,-,1418,68.0
1469 Top 7.2%,National Chengchi University,Taiwan,21,-,148,-,1796,68.0
1470 Top 7.2%,National Kaohsiung University of Science and Technology,Taiwan,22,-,1641,-,1411,68.0
1471 Top 7.2%,Doshisha University,Japan,78,-,128,-,1902,68.0
1472 Top 7.2%,Shandong University of Technology,China,230,-,1526,-,1413,68.0
1473 Top 7.2%,State University of Londrina,Brazil,36,-,-,-,1414,68.0
1474 Top 7.2%,Hamad Bin Khalifa University,Qatar,2,-,-,-,1415,68.0
1475 Top 7.2%,"École supérieure de chimie, physique, électronique de Lyon",France,61,30,962,-,-,68.0
1476 Top 7.2%,Zhejiang Chinese Medical University,China,231,-,-,-,1416,68.0
1477 Top 7.2%,Indian Institute of Technology (BHU) Varanasi,India,40,-,573,-,1454,68.0
1478 Top 7.2%,Federal University of Technology - Paraná,Brazil,37,-,-,-,1417,68.0
1479 Top 7.3%,Western Norway University of Applied Sciences,Norway,8,-,-,-,1419,68.0
1480 Top 7.3%,University of Occupational and Environmental Health Japan,Japan,79,-,-,-,1420,68.0
1481 Top 7.3%,Michoacán University of San Nicolás of Hidalgo,Mexico,12,-,-,-,1421,68.0
1482 Top 7.3%,Guglielmo Marconi University,Italy,59,-,-,-,1422,68.0
1483 Top 7.3%,National Chung Cheng University,Taiwan,23,-,-,-,1423,68.0
1484 Top 7.3%,Alexandru Ioan Cuza University of Iaşi,Romania,7,-,-,-,1424,68.0
1485 Top 7.3%,Ball State University,USA,272,-,520,-,1469,68.0
1486 Top 7.3%,XLRI - Xavier School of Management,India,41,-,54,-,-,68.0
1487 Top 7.3%,University of Gondar,Ethiopia,2,-,-,-,1425,67.9
1488 Top 7.3%,Peoples' Friendship University of Russia,Russia,25,-,899,-,1432,67.9
1489 Top 7.3%,Feng Chia University,Taiwan,24,-,485,-,1476,67.9
1490 Top 7.3%,National Institute of Amazonian Research (INPA),Brazil,38,-,-,-,1426,67.9
1491 Top 7.3%,Kagawa University,Japan,80,-,1000,-,1431,67.9
1492 Top 7.3%,Tallinn University of Technology,Estonia,2,-,-,-,1427,67.9
1493 Top 7.3%,Antonio Nariño University,Colombia,4,-,-,-,1428,67.9
1494 Top 7.3%,Pontifical Catholic University of Rio Grande do Sul,Brazil,39,-,964,-,1434,67.9
1495 Top 7.3%,Huzhou University,China,232,-,-,-,1430,67.9
1496 Top 7.3%,Vienna University of Economics and Business,Austria,15,-,166,-,1772,67.9
1497 Top 7.3%,Nova Southeastern University,USA,273,-,1070,-,1437,67.9
1498 Top 7.3%,San Jose State University,USA,274,255,995,-,1473,67.9
1499 Top 7.4%,University of Technology of Belfort-Montbéliard,France,62,-,-,-,1435,67.9
1500 Top 7.4%,Hunan University of Science and Technology,China,233,-,-,-,1436,67.9
1501 Top 7.4%,Montclair State University,USA,275,-,1453,-,1438,67.9
1502 Top 7.4%,University of Indonesia,Indonesia,1,-,651,-,1466,67.9
1503 Top 7.4%,University of Isfahan,Iran,21,-,-,-,1439,67.9
1504 Top 7.4%,Kwansei Gakuin University,Japan,81,-,135,-,1865,67.9
1505 Top 7.4%,University of Avignon,France,63,-,-,-,1440,67.9
1506 Top 7.4%,Poznań University of Life Sciences,Poland,27,-,-,-,1441,67.9
1507 Top 7.4%,Trent University,Canada,34,-,1370,-,1442,67.9
1508 Top 7.4%,Poznań University of Technology,Poland,28,-,-,-,1444,67.9
1509 Top 7.4%,Taif University,Saudi Arabia,7,-,-,-,1445,67.9
1510 Top 7.4%,Liaoning University,China,234,-,977,-,1456,67.9
1511 Top 7.4%,Medical University Sofia,Bulgaria,2,-,-,-,1446,67.8
1512 Top 7.4%,Federal University of Sergipe,Brazil,40,-,-,-,1447,67.8
1513 Top 7.4%,"California State University, Long Beach",USA,276,-,1534,-,1448,67.8
1514 Top 7.4%,Hiroshima Institute of Technology,Japan,82,-,-,-,1449,67.8
1515 Top 7.4%,Menlo College,USA,277,-,53,-,-,67.8
1516 Top 7.4%,University of Latvia,Latvia,1,-,-,-,1450,67.8
1517 Top 7.4%,Seoul National University of Science and Technology,South Korea,46,-,-,-,1451,67.8
1518 Top 7.4%,De Montfort University,United Kingdom,80,-,1478,-,1453,67.8
1519 Top 7.4%,Freiberg University of Mining and Technology,Germany,63,-,-,-,1452,67.8
1520 Top 7.5%,Tianjin Normal University,China,235,-,-,-,1455,67.8
1521 Top 7.5%,Cayetano Heredia Peruvian University,Peru,1,-,-,-,1457,67.8
1522 Top 7.5%,University of Agder,Norway,9,-,-,-,1458,67.8
1523 Top 7.5%,University of Minnesota Duluth,USA,278,314,1358,-,1478,67.8
1524 Top 7.5%,Süleyman Demirel University,Turkey,33,-,-,-,1459,67.8
1525 Top 7.5%,University of Warmia and Mazury in Olsztyn,Poland,29,-,-,-,1460,67.8
1526 Top 7.5%,University of Sannio,Italy,60,-,-,-,1461,67.8
1527 Top 7.5%,University of South Dakota,USA,279,300,-,-,1481,67.8
1528 Top 7.5%,Ochanomizu University,Japan,83,-,-,-,1462,67.8
1529 Top 7.5%,Kyushu Institute of Technology,Japan,84,-,-,-,1463,67.8
1530 Top 7.5%,Middlesex University,United Kingdom,81,522,1023,-,1468,67.8
1531 Top 7.5%,Hanken School of Economics,Finland,10,-,86,-,-,67.8
1532 Top 7.5%,Carleton College,USA,280,98,288,-,1972,67.8
1533 Top 7.5%,Government College University Faisalabad,Pakistan,7,-,-,-,1464,67.8
1534 Top 7.5%,University of Salford,United Kingdom,82,-,1465,-,1465,67.7
1535 Top 7.5%,Institute of Tropical Medicine Antwerp,Belgium,11,-,-,-,1467,67.7
1536 Top 7.5%,University of Kashan,Iran,22,-,-,-,1470,67.7
1537 Top 7.5%,University of Electro-Communications,Japan,85,-,-,-,1471,67.7
1538 Top 7.5%,V.A. Steklov Mathematical Institute of the Russian Academy of Sciences,Russia,26,-,-,247,1701,67.7
1539 Top 7.5%,University of Trás-os-Montes and Alto Douro,Portugal,9,-,-,-,1474,67.7
1540 Top 7.6%,Hamburg University of Technology,Germany,64,-,-,-,1475,67.7
1541 Top 7.6%,University of Perpignan,France,64,-,-,-,1477,67.7
1542 Top 7.6%,Witten/Herdecke University,Germany,65,-,1323,-,1479,67.7
1543 Top 7.6%,Tamkang University,Taiwan,25,-,1280,-,1480,67.7
1544 Top 7.6%,"Indian Statistical Institute, Kolkata",India,42,232,-,-,1524,67.7
1545 Top 7.6%,Ontario Tech University,Canada,35,-,-,-,1482,67.7
1546 Top 7.6%,International Islamic University Malaysia,Malaysia,6,-,-,-,1483,67.7
1547 Top 7.6%,Imam Abdulrahman Bin Faisal University,Saudi Arabia,8,-,-,-,1484,67.7
1548 Top 7.6%,Institute of Applied Physics of the Russian Academy of Sciences,Russia,27,-,-,-,1485,67.7
1549 Top 7.6%,Maria Curie-Skłodowska University,Poland,30,-,1458,-,1487,67.7
1550 Top 7.6%,Shanghai University of Electric Power,China,236,-,-,-,1486,67.7
1551 Top 7.6%,Indian Institute of Technology Bhubaneswar,India,43,-,-,-,1488,67.7
1552 Top 7.6%,Ariel University,Israel,8,-,-,-,1489,67.7
1553 Top 7.6%,Semnan University,Iran,23,-,-,-,1490,67.7
1554 Top 7.6%,Nagoya Institute of Technology,Japan,86,-,1471,-,1492,67.7
1555 Top 7.6%,Iuliu Hațieganu University of Medicine and Pharmacy,Romania,8,-,-,-,1491,67.7
1556 Top 7.6%,King Mongkut's University of Technology Thonburi,Thailand,7,-,1419,-,1493,67.7
1557 Top 7.6%,Fırat University,Turkey,34,-,-,-,1494,67.7
1558 Top 7.6%,University of Southern Mississippi,USA,281,-,-,-,1495,67.6
1559 Top 7.6%,Harbin University of Science and Technology,China,237,-,-,-,1496,67.6
1560 Top 7.6%,Henan University of Technology,China,238,-,-,-,1497,67.6
1561 Top 7.7%,Guilin University of Technology,China,239,-,-,-,1498,67.6
1562 Top 7.7%,Zhengzhou University of Light Industry,China,240,-,1624,-,1499,67.6
1563 Top 7.7%,University of Évora,Portugal,10,-,1550,-,1500,67.6
1564 Top 7.7%,Kookmin University,South Korea,47,-,1420,-,1502,67.6
1565 Top 7.7%,University of Guilan,Iran,24,-,-,-,1501,67.6
1566 Top 7.7%,Lobachevsky University,Russia,28,-,1278,-,1503,67.6
1567 Top 7.7%,Baruch College,USA,282,-,706,268,1677,67.6
1568 Top 7.7%,Sabancı University,Turkey,35,-,1043,-,1512,67.6
1569 Top 7.7%,Hebei Agricultural University,China,241,-,-,-,1504,67.6
1570 Top 7.7%,Central South University of Forestry and Technology,China,242,-,-,-,1505,67.6
1571 Top 7.7%,Hamamatsu University School of Medicine,Japan,87,-,-,-,1506,67.6
1572 Top 7.7%,Near East University,Northern Cyprus,1,-,1461,-,1508,67.6
1573 Top 7.7%,Hampton University,USA,283,-,-,-,1507,67.6
1574 Top 7.7%,Zhongnan University of Economics and Law,China,243,-,136,-,1981,67.6
1575 Top 7.7%,Norwegian School of Sport Sciences,Norway,10,-,-,-,1509,67.6
1576 Top 7.7%,Open University of Catalonia,Spain,47,-,1697,212,1977,67.6
1577 Top 7.7%,Lincoln University,New Zealand,8,-,-,-,1510,67.6
1578 Top 7.7%,University of Zambia,Zambia,1,-,-,-,1513,67.6
1579 Top 7.7%,"National Institute of Technology, Tiruchirappalli",India,44,-,295,-,1659,67.6
1580 Top 7.7%,Guangdong Medical University,China,244,-,-,-,1514,67.6
1581 Top 7.8%,Shiga University of Medical Science,Japan,88,-,-,-,1515,67.6
1582 Top 7.8%,Tamil Nadu Dr. M.G.R. Medical University,India,45,-,-,-,1516,67.5
1583 Top 7.8%,Sichuan Normal University,China,245,-,-,-,1517,67.5
1584 Top 7.8%,MARA University of Technology,Malaysia,7,-,-,-,1518,67.5
1585 Top 7.8%,Xinjiang Medical University,China,246,-,-,-,1519,67.5
1586 Top 7.8%,Taibah University,Saudi Arabia,9,-,-,-,1520,67.5
1587 Top 7.8%,University of Tulsa,USA,284,-,218,-,1753,67.5
1588 Top 7.8%,University of Rijeka,Croatia,3,-,-,-,1521,67.5
1589 Top 7.8%,Wakayama Medical University,Japan,89,-,-,-,1522,67.5
1590 Top 7.8%,Clarkson University,USA,285,-,902,-,1530,67.5
1591 Top 7.8%,Nanchang Hangkong University,China,247,-,1620,-,1523,67.5
1592 Top 7.8%,Foshan University,China,248,-,-,-,1525,67.5
1593 Top 7.8%,I-Shou University,Taiwan,26,-,-,-,1526,67.5
1594 Top 7.8%,University of Huelva,Spain,48,-,-,-,1528,67.5
1595 Top 7.8%,Shahid Bahonar University of Kerman,Iran,25,-,-,-,1529,67.5
1596 Top 7.8%,University of Lethbridge,Canada,36,306,-,-,1550,67.5
1597 Top 7.8%,Grinnell College,USA,286,49,-,-,-,67.5
1598 Top 7.8%,University of Toulouse-Jean Jaurès,France,65,-,-,-,1531,67.5
1599 Top 7.8%,Sheffield Hallam University,United Kingdom,83,-,1660,-,1532,67.5
1600 Top 7.8%,Arts et Métiers Sciences et Technologies,France,66,417,408,-,1623,67.5
1601 Top 7.8%,Pontifical Javeriana University,Colombia,5,-,1223,-,1535,67.5
1602 Top 7.9%,Oslo Metropolitan University,Norway,11,-,-,-,1533,67.5
1603 Top 7.9%,Central Queensland University,Australia,36,-,-,-,1534,67.5
1604 Top 7.9%,Technical University of Ilmenau,Germany,66,-,-,-,1536,67.5
1605 Top 7.9%,University of Kragujevac,Serbia,3,-,-,-,1537,67.5
1606 Top 7.9%,Kyoto University of Education,Japan,90,-,-,-,1538,67.4
1607 Top 7.9%,University of Peshawar,Pakistan,8,-,-,-,1539,67.4
1608 Top 7.9%,N.N. Semenov Institute of Chemical Physics of the Russian Academy of Sciences,Russia,29,-,-,211,-,67.4
1609 Top 7.9%,Nara Medical University,Japan,91,-,-,-,1540,67.4
1610 Top 7.9%,Pontifical Catholic University of Peru,Peru,2,-,1390,-,1543,67.4
1611 Top 7.9%,Southwest Medical University,China,249,-,-,-,1541,67.4
1612 Top 7.9%,Aichi Medical University,Japan,92,-,-,-,1542,67.4
1613 Top 7.9%,Kwangwoon University,South Korea,48,-,1705,-,1544,67.4
1614 Top 7.9%,Xi'an University of Science and Technology,China,250,-,954,-,1553,67.4
1615 Top 7.9%,Lithuanian University of Health Sciences,Lithuania,2,-,-,-,1545,67.4
1616 Top 7.9%,University of Peradeniya,Sri Lanka,1,-,-,-,1546,67.4
1617 Top 7.9%,Razi University,Iran,26,-,-,-,1547,67.4
1618 Top 7.9%,Texas Tech University Health Sciences Center,USA,287,-,-,-,1548,67.4
1619 Top 7.9%,University of Valparaíso,Chile,10,-,-,-,1549,67.4
1620 Top 7.9%,Jamia Millia Islamia,India,46,-,1625,-,1551,67.4
1621 Top 7.9%,Ondokuz Mayıs University,Turkey,36,-,-,-,1552,67.4
1622 Top 8%,National University of the Littoral,Argentina,5,-,-,-,1554,67.4
1623 Top 8%,Thammasat University,Thailand,8,-,463,-,1627,67.4
1624 Top 8%,Kingston University,United Kingdom,84,480,536,-,1612,67.4
1625 Top 8%,Changchun University of Science and Technology,China,251,-,-,-,1555,67.4
1626 Top 8%,Georgian Technical University,Georgia,3,-,-,-,1556,67.4
1627 Top 8%,Xi'an Jiaotong-Liverpool University,China,252,-,-,-,1557,67.4
1628 Top 8%,Urmia University,Iran,27,-,-,-,1558,67.4
1629 Top 8%,Medical University of Białystok,Poland,31,-,-,-,1559,67.4
1630 Top 8%,Mimar Sinan Fine Arts University,Turkey,37,-,-,-,1560,67.3
1631 Top 8%,ISCTE – University Institute of Lisbon,Portugal,11,-,607,-,1604,67.3
1632 Top 8%,Sapporo Medical University,Japan,93,-,-,-,1562,67.3
1633 Top 8%,CY Cergy Paris University,France,67,-,-,-,1563,67.3
1634 Top 8%,Indian Institute of Technology Gandhinagar,India,47,-,-,-,1564,67.3
1635 Top 8%,Menoufia University,Egypt,14,-,-,-,1565,67.3
1636 Top 8%,Suranaree University of Technology,Thailand,9,-,-,-,1566,67.3
1637 Top 8%,Slovak University of Technology in Bratislava,Slovak Republic,3,-,-,-,1567,67.3
1638 Top 8%,Guangdong Pharmaceutical University,China,253,-,-,-,1568,67.3
1639 Top 8%,Illinois State University,USA,288,-,774,-,1584,67.3
1640 Top 8%,Linyi University,China,254,-,-,-,1569,67.3
1641 Top 8%,Bu-Ali Sina University,Iran,28,-,-,-,1570,67.3
1642 Top 8%,Benha University,Egypt,15,-,-,-,1571,67.3
1643 Top 8.1%,Chapman University,USA,289,-,1073,-,1577,67.3
1644 Top 8.1%,Free University of Bozen-Bolzano,Italy,61,-,-,-,1572,67.3
1645 Top 8.1%,Federal Rural University of Pernambuco,Brazil,41,-,-,-,1574,67.3
1646 Top 8.1%,Payame Noor University,Iran,29,-,-,-,1575,67.3
1647 Top 8.1%,Shanghai University of Engineering Science,China,255,-,1609,-,1576,67.3
1648 Top 8.1%,Cleveland State University,USA,290,-,805,-,1590,67.3
1649 Top 8.1%,Mendel University in Brno,Czech Republic,9,-,-,-,1578,67.3
1650 Top 8.1%,University of Guanajuato,Mexico,13,-,1403,-,1579,67.3
1651 Top 8.1%,"California State University, Los Angeles",USA,291,-,887,-,1587,67.3
1652 Top 8.1%,Pontifical Catholic University of Rio de Janeiro,Brazil,42,-,362,-,1696,67.3
1653 Top 8.1%,Iwate Medical University,Japan,94,-,-,-,1580,67.3
1654 Top 8.1%,Glasgow Caledonian University,United Kingdom,85,-,-,-,1581,67.3
1655 Top 8.1%,Eastern Virginia Medical School,USA,292,-,-,-,1582,67.2
1656 Top 8.1%,Xinxiang Medical University,China,256,-,-,-,1583,67.2
1657 Top 8.1%,DePaul University,USA,293,372,611,-,1644,67.2
1658 Top 8.1%,Nelson Mandela University,South Africa,12,-,1379,-,1585,67.2
1659 Top 8.1%,Jiangxi University of Science and Technology,China,257,-,1671,-,1586,67.2
1660 Top 8.1%,Claremont Graduate University,USA,294,331,-,276,1707,67.2
1661 Top 8.1%,Minia University,Egypt,16,-,-,-,1588,67.2
1662 Top 8.1%,Institute for Pure and Applied Mathematics (IMPA),Brazil,43,114,-,231,-,67.2
1663 Top 8.1%,China West Normal University,China,258,-,-,-,1589,67.2
1664 Top 8.2%,University of Ruhuna,Sri Lanka,2,-,-,-,1591,67.2
1665 Top 8.2%,Bharathiar University,India,48,-,1369,-,1595,67.2
1666 Top 8.2%,Krasnoyarsk Science Center of the Siberian Branch of the Russian Academy of Sciences,Russia,30,-,-,-,1592,67.2
1667 Top 8.2%,Utah Valley University,USA,295,-,-,-,1593,67.2
1668 Top 8.2%,Yuan Ze University,Taiwan,27,-,-,-,1594,67.2
1669 Top 8.2%,University of Massachusetts Dartmouth,USA,296,-,1321,-,1596,67.2
1670 Top 8.2%,Guizhou Medical University,China,259,-,-,-,1597,67.2
1671 Top 8.2%,University of Leoben,Austria,16,-,1393,-,1598,67.2
1672 Top 8.2%,Kyorin University,Japan,95,-,-,-,1599,67.2
1673 Top 8.2%,University of the West of Scotland,United Kingdom,86,-,1267,-,1603,67.2
1674 Top 8.2%,Catholic University of the North,Chile,11,-,-,-,1600,67.2
1675 Top 8.2%,Nazarbayev University,Kazakhstan,1,-,-,-,1601,67.2
1676 Top 8.2%,Bahçeşehir University,Turkey,38,-,-,-,1602,67.2
1677 Top 8.2%,Reed College,USA,297,62,1261,-,-,67.2
1678 Top 8.2%,Wonkwang University,South Korea,49,-,-,-,1605,67.2
1679 Top 8.2%,University of Trier,Germany,67,-,-,-,1606,67.2
1680 Top 8.2%,Bahauddin Zakariya University,Pakistan,9,-,-,-,1607,67.1
1681 Top 8.2%,National University of Cuyo,Argentina,6,-,-,-,1608,67.1
1682 Top 8.2%,International University of Health and Welfare,Japan,96,-,-,-,1609,67.1
1683 Top 8.2%,BI Norwegian Business School,Norway,12,-,443,261,1909,67.1
1684 Top 8.3%,University of Malta,Malta,1,-,-,-,1610,67.1
1685 Top 8.3%,Agricultural University of Athens,Greece,10,-,-,-,1611,67.1
1686 Top 8.3%,Rikkyo University,Japan,97,494,400,-,1709,67.1
1687 Top 8.3%,University of the Philippines Manila,Philippines,2,-,986,-,1619,67.1
1688 Top 8.3%,University of Niš,Serbia,4,-,-,-,1613,67.1
1689 Top 8.3%,Estonian University of Life Sciences,Estonia,3,-,-,-,1614,67.1
1690 Top 8.3%,Suzhou University of Science and Technology,China,260,-,-,-,1615,67.1
1691 Top 8.3%,Catholic University of Portugal,Portugal,12,-,650,-,1658,67.1
1692 Top 8.3%,Diego Portales University,Chile,12,-,-,-,1616,67.1
1693 Top 8.3%,"University of San Francisco, Quito",Ecuador,1,-,-,-,1617,67.1
1694 Top 8.3%,"California State University, Sacramento",USA,298,-,592,-,1672,67.1
1695 Top 8.3%,Chongqing Technology and Business University,China,261,-,-,-,1620,67.1
1696 Top 8.3%,University of Québec at Trois-Rivières,Canada,37,-,-,-,1621,67.1
1697 Top 8.3%,Kafrelsheikh University,Egypt,17,-,-,-,1622,67.1
1698 Top 8.3%,Yunnan Normal University,China,262,-,-,-,1624,67.1
1699 Top 8.3%,Yazd University,Iran,30,-,-,-,1625,67.1
1700 Top 8.3%,University of North Carolina Wilmington,USA,299,-,-,-,1626,67.1
1701 Top 8.3%,Pontifical Catholic University of Paraná,Brazil,44,-,1652,-,1628,67.1
1702 Top 8.3%,Jiaxing University,China,263,-,-,-,1629,67.1
1703 Top 8.3%,Trinity University,USA,300,-,172,-,-,67.1
1704 Top 8.3%,National University of Mar del Plata,Argentina,7,-,-,-,1631,67.1
1705 Top 8.4%,Federal University of Rio Grande,Brazil,45,-,-,-,1632,67.0
1706 Top 8.4%,G.K. Boreskov Institute of Catalysis of the Siberian Branch of the Russian Academy of Sciences,Russia,31,-,-,-,1633,67.0
1707 Top 8.4%,Myongji University,South Korea,50,-,1647,-,1634,67.0
1708 Top 8.4%,Federation University Australia,Australia,37,-,-,-,1635,67.0
1709 Top 8.4%,Ohio Wesleyan University,USA,301,63,157,-,-,67.0
1710 Top 8.4%,Western Washington University,USA,302,-,1283,-,1637,67.0
1711 Top 8.4%,Prince Sattam Bin Abdulaziz University,Saudi Arabia,10,-,-,-,1636,67.0
1712 Top 8.4%,Georgia Southern University,USA,303,-,-,-,1638,67.0
1713 Top 8.4%,University of Agriculture in Krakow,Poland,32,-,-,-,1639,67.0
1714 Top 8.4%,Necmettin Erbakan University,Turkey,39,-,-,-,1640,67.0
1715 Top 8.4%,Westlake University,China,264,-,-,-,1641,67.0
1716 Top 8.4%,Laurentian University,Canada,38,-,409,-,1722,67.0
1717 Top 8.4%,Amrita Vishwa Vidyapeetham,India,49,-,-,-,1642,67.0
1718 Top 8.4%,Ibaraki University,Japan,98,-,-,-,1643,67.0
1719 Top 8.4%,Appalachian State University,USA,304,-,1112,-,1647,67.0
1720 Top 8.4%,Fairfield University,USA,305,-,489,-,1705,67.0
1721 Top 8.4%,Sookmyung Women's University,South Korea,51,-,981,-,1655,67.0
1722 Top 8.4%,St. Marianna University School of Medicine,Japan,99,-,-,-,1645,67.0
1723 Top 8.4%,Gangneung-Wonju National University,South Korea,52,-,-,-,1646,67.0
1724 Top 8.4%,University of Health Sciences,Turkey,40,-,-,-,1648,67.0
1725 Top 8.5%,European University Institute,Italy,62,-,-,-,1649,67.0
1726 Top 8.5%,University of Molise,Italy,63,-,-,-,1650,67.0
1727 Top 8.5%,"Goldsmiths, University of London",United Kingdom,87,361,-,-,1660,67.0
1728 Top 8.5%,University of Fukui,Japan,100,-,-,-,1651,67.0
1729 Top 8.5%,University of Dhaka,Bangladesh,1,-,-,-,1652,67.0
1730 Top 8.5%,Tzu Chi University,Taiwan,28,-,-,-,1653,67.0
1731 Top 8.5%,Roskilde University,Denmark,7,-,-,-,1654,66.9
1732 Top 8.5%,Indian Institute of Management Calcutta,India,50,-,72,-,-,66.9
1733 Top 8.5%,Kocaeli University,Turkey,41,-,-,-,1656,66.9
1734 Top 8.5%,Jiangxi Agricultural University,China,265,-,-,-,1657,66.9
1735 Top 8.5%,Space Research Institute of the Russian Academy of Sciences,Russia,32,-,-,272,1780,66.9
1736 Top 8.5%,"Queens College, City University of New York",USA,306,-,860,-,1679,66.9
1737 Top 8.5%,A.A. Kharkevich Institute for Information Transmission Problems of the Russian Academy of Sciences,Russia,33,-,-,-,1661,66.9
1738 Top 8.5%,Cyprus University of Technology,Cyprus,2,-,-,-,1662,66.9
1739 Top 8.5%,Malmö University,Sweden,15,-,-,-,1663,66.9
1740 Top 8.5%,Kermanshah University of Medical Sciences,Iran,31,-,-,-,1664,66.9
1741 Top 8.5%,Jilin Agricultural University,China,266,-,-,-,1665,66.9
1742 Top 8.5%,Umm Al-Qura University,Saudi Arabia,11,-,-,-,1666,66.9
1743 Top 8.5%,Xinyang Normal University,China,267,-,-,-,1667,66.9
1744 Top 8.5%,Ludong University,China,268,-,-,-,1668,66.9
1745 Top 8.5%,Southern Federal University,Russia,34,-,-,-,1670,66.9
1746 Top 8.6%,Shanxi Agricultural University,China,269,-,-,-,1671,66.9
1747 Top 8.6%,University of La Rioja,Spain,49,-,-,-,1673,66.9
1748 Top 8.6%,Federal University of Mato Grosso,Brazil,46,-,-,-,1674,66.9
1749 Top 8.6%,Ningxia University,China,270,-,-,-,1675,66.9
1750 Top 8.6%,University of Koblenz-Landau,Germany,68,-,-,-,1676,66.9
1751 Top 8.6%,Chengdu University,China,271,-,-,-,1678,66.9
1752 Top 8.6%,Comillas Pontifical University,Spain,50,-,138,-,-,66.9
1753 Top 8.6%,Hubei University of Technology,China,272,-,-,-,1680,66.9
1754 Top 8.6%,Kongju National University,South Korea,53,-,-,-,1681,66.9
1755 Top 8.6%,PETRONAS University of Technology,Malaysia,8,-,-,-,1682,66.9
1756 Top 8.6%,University of Cassino and Southern Lazio,Italy,64,-,-,-,1683,66.9
1757 Top 8.6%,Hongik University,South Korea,54,-,998,-,1691,66.8
1758 Top 8.6%,University of Zielona Góra,Poland,33,-,-,-,1684,66.8
1759 Top 8.6%,Mekelle University,Ethiopia,3,-,-,-,1685,66.8
1760 Top 8.6%,University of Kurdistan,Iran,32,-,-,-,1686,66.8
1761 Top 8.6%,Doğuş University,Turkey,42,-,-,-,1687,66.8
1762 Top 8.6%,Alfaisal University,Saudi Arabia,12,-,-,-,1688,66.8
1763 Top 8.6%,Irkutsk Scientific Center of the Siberian Branch of the Russian Academy of Sciences,Russia,35,-,-,-,1689,66.8
1764 Top 8.6%,Shanghai Institute of Technology,China,273,-,-,-,1690,66.8
1765 Top 8.6%,James Madison University,USA,307,-,739,-,1712,66.8
1766 Top 8.7%,University of South-Eastern Norway,Norway,13,-,-,-,1692,66.8
1767 Top 8.7%,Jimma University,Ethiopia,4,-,-,-,1693,66.8
1768 Top 8.7%,Harokopio University,Greece,11,-,-,-,1694,66.8
1769 Top 8.7%,Industrial University of Santander,Colombia,6,-,-,-,1695,66.8
1770 Top 8.7%,Marshall University,USA,308,427,471,-,1773,66.8
1771 Top 8.7%,University of Notre Dame Australia,Australia,38,-,-,-,1697,66.8
1772 Top 8.7%,Chongqing Normal University,China,274,-,-,-,1699,66.8
1773 Top 8.7%,University of International Business and Economics,China,275,-,420,-,1785,66.8
1774 Top 8.7%,Federal University of Triângulo Mineiro,Brazil,47,-,-,-,1700,66.8
1775 Top 8.7%,University of Westminster,United Kingdom,88,303,1216,-,1725,66.8
1776 Top 8.7%,University of Zimbabwe,Zimbabwe,1,-,1157,-,1704,66.8
1777 Top 8.7%,National Dong Hwa University,Taiwan,29,-,-,-,1702,66.8
1778 Top 8.7%,Central European University,Hungary,7,-,-,-,1703,66.8
1779 Top 8.7%,Institute for Nuclear Research of the National Academy of Sciences of Ukraine,Ukraine,4,-,-,-,1706,66.8
1780 Top 8.7%,Ahvaz Jundishapur University of Medical Sciences,Iran,33,-,-,-,1708,66.8
1781 Top 8.7%,Central University of Finance and Economics,China,276,-,527,-,1774,66.8
1782 Top 8.7%,Akita University,Japan,101,-,-,-,1711,66.8
1783 Top 8.7%,Wrocław University of Environmental and Life Sciences,Poland,34,-,-,-,1713,66.7
1784 Top 8.7%,University of Nigeria,Nigeria,2,-,1676,-,1714,66.7
