tuition_in_state_usd,tuition_out_of_state_usd,admission_rate,sat_average,act_midpoint,name,city,state,country,source
,,0.9046,,,Concorde Career College-Aurora,Aurora,CO,United States,collegescorecard.ed.gov
2616.0,12840.0,,,,Colorado Mountain College,Glenwood Springs,CO,United States,collegescorecard.ed.gov
4594.0,7304.0,,,,Colorado Northwestern Community College,Rangely,CO,United States,collegescorecard.ed.gov
21914.0,45824.0,0.6069,1412.0,31.0,Colorado School of Mines,Golden,CO,United States,collegescorecard.ed.gov
,,0.9091,,,Colorado School of Trades,Lakewood,CO,United States,collegescorecard.ed.gov
13373.0,34783.0,0.8854,,26.0,Colorado State University-Fort Collins,Fort Collins,CO,United States,collegescorecard.ed.gov
12750.0,12750.0,,,,Colorado Technical University-Colorado Springs,Colorado Springs,CO,United States,collegescorecard.ed.gov
4470.0,17070.0,,,,Community College of Aurora,Aurora,CO,United States,collegescorecard.ed.gov
,,,,,Technical College of the Rockies,Delta,CO,United States,collegescorecard.ed.gov
4902.0,17136.0,,,,Community College of Denver,Denver,CO,United States,collegescorecard.ed.gov
,,,,,Lincoln College of Technology-Denver,Denver,CO,United States,collegescorecard.ed.gov
,,,,,Denver Seminary,Littleton,CO,United States,collegescorecard.ed.gov
61398.0,61398.0,0.7781,1355.0,29.0,University of Denver,Denver,CO,United States,collegescorecard.ed.gov
,,,,,Emily Griffith Technical College,Denver,CO,United States,collegescorecard.ed.gov
9958.0,21526.0,0.773,1111.0,20.0,Fort Lewis College,Durango,CO,United States,collegescorecard.ed.gov
4663.0,17263.0,,,,Front Range Community College,Westminster,CO,United States,collegescorecard.ed.gov
,,,,,Iliff School of Theology,Denver,CO,United States,collegescorecard.ed.gov
,,,,,International Salon and Spa Academy,Colorado Springs,CO,United States,collegescorecard.ed.gov
4550.0,7260.0,,,,Lamar Community College,Lamar,CO,United States,collegescorecard.ed.gov
9927.0,25124.0,0.8203,1055.0,23.0,Colorado Mesa University,Grand Junction,CO,United States,collegescorecard.ed.gov
11124.0,30684.0,0.988,1019.0,21.0,Metropolitan State University of Denver,Denver,CO,United States,collegescorecard.ed.gov
4252.0,16852.0,,,,Morgan Community College,Fort  Morgan,CO,United States,collegescorecard.ed.gov
36620.0,36620.0,1.0,,,Naropa University,Boulder,CO,United States,collegescorecard.ed.gov
10482.0,10482.0,,,,Nazarene Bible College,Colorado Springs,CO,United States,collegescorecard.ed.gov
5730.0,8267.0,,,,Northeastern Junior College,Sterling,CO,United States,collegescorecard.ed.gov
12416.0,27266.0,0.8585,1082.0,23.0,University of Northern Colorado,Greeley,CO,United States,collegescorecard.ed.gov
4576.0,7286.0,,,,Otero College,La Junta,CO,United States,collegescorecard.ed.gov
4510.0,17110.0,,,,Pikes Peak State College,Colorado Springs,CO,United States,collegescorecard.ed.gov
5049.0,17649.0,,,,Pueblo Community College,Pueblo,CO,United States,collegescorecard.ed.gov
4859.0,17459.0,,,,Red Rocks Community College,Lakewood,CO,United States,collegescorecard.ed.gov
46340.0,46340.0,0.8646,1220.0,25.0,Regis University,Denver,CO,United States,collegescorecard.ed.gov
20190.0,20190.0,,,,Rocky Mountain College of Art and Design,Lakewood,CO,United States,collegescorecard.ed.gov
,,1.0,,,Montessori Education Center of the Rockies,Denver,CO,United States,collegescorecard.ed.gov
9720.0,17944.0,0.949,1120.0,22.0,Colorado State University Pueblo,Pueblo,CO,United States,collegescorecard.ed.gov
5140.0,9250.0,,,,Pickens Technical College,Aurora,CO,United States,collegescorecard.ed.gov
,,,,,Intellitec College-Colorado Springs,Colorado Springs,CO,United States,collegescorecard.ed.gov
,,,,,Intellitec College-Grand Junction,Grand Junction,CO,United States,collegescorecard.ed.gov
4608.0,7318.0,,,,Trinidad State College,Trinidad,CO,United States,collegescorecard.ed.gov
,,0.1409,1350.0,32.0,United States Air Force Academy,USAF Academy,CO,United States,collegescorecard.ed.gov
,,,,,Empire Beauty School-Thornton,Thornton,CO,United States,collegescorecard.ed.gov
11318.0,24434.0,0.9971,1230.0,24.0,Western Colorado University,Gunnison,CO,United States,collegescorecard.ed.gov
41908.0,41908.0,0.5931,,,Albertus Magnus College,New Haven,CT,United States,collegescorecard.ed.gov
9450.0,9450.0,1.0,,,Bais Binyomin Academy,Monsey,NY,United States,collegescorecard.ed.gov
35760.0,35760.0,0.8302,,,University of Bridgeport,Bridgeport,CT,United States,collegescorecard.ed.gov
13050.0,16550.0,0.7333,1080.0,23.0,Central Connecticut State University,New Britain,CT,United States,collegescorecard.ed.gov
8506.0,8506.0,,,,Charter Oak State College,New Britain,CT,United States,collegescorecard.ed.gov
,,,,,Cortiva Institute,Cromwell,CT,United States,collegescorecard.ed.gov
67242.0,67242.0,0.3704,1432.0,32.0,Connecticut College,New London,CT,United States,collegescorecard.ed.gov
14337.0,14337.0,,,,Porter & Chester Institute of Hamden,Hamden,CT,United States,collegescorecard.ed.gov
21044.0,43712.0,0.5239,1348.0,30.0,University of Connecticut,Storrs,CT,United States,collegescorecard.ed.gov
21198.0,21198.0,,,,Goodwin University,East Hartford,CT,United States,collegescorecard.ed.gov
,,,,,Lincoln Technical Institute-East Windsor,East Windsor,CT,United States,collegescorecard.ed.gov
13928.0,17428.0,0.8298,1160.0,,Eastern Connecticut State University,Willimantic,CT,United States,collegescorecard.ed.gov
58350.0,58350.0,0.3329,1335.0,29.0,Fairfield University,Fairfield,CT,United States,collegescorecard.ed.gov
,,,,,Paul Mitchell the School-North Haven,North Haven,CT,United States,collegescorecard.ed.gov
5338.0,15596.0,,,,Connecticut State Community College,New Britain,CT,United States,collegescorecard.ed.gov
,,,,,American Institute-West Hartford,West Hartford,CT,United States,collegescorecard.ed.gov
,,,,,Hartford International University for Religion and Peace,Hartford,CT,United States,collegescorecard.ed.gov
49075.0,49075.0,0.9575,1219.0,26.0,University of Hartford,West Hartford,CT,United States,collegescorecard.ed.gov
9580.0,9580.0,,,,Holy Apostles College and Seminary,Cromwell,CT,United States,collegescorecard.ed.gov
40490.0,40490.0,0.9466,,,Mitchell College,New London,CT,United States,collegescorecard.ed.gov
,,,,,Lincoln Technical Institute-New Britain,New Britain,CT,United States,collegescorecard.ed.gov
,,,,,New England Tractor Trailer Training School of Connecticut,Somers,CT,United States,collegescorecard.ed.gov
47332.0,47332.0,0.6038,1160.0,27.0,University of New Haven,West Haven,CT,United States,collegescorecard.ed.gov
14349.0,14349.0,,,,Porter & Chester Institute,Bridgeport,CT,United States,collegescorecard.ed.gov
16327.0,16327.0,,,,Post University,Waterbury,CT,United States,collegescorecard.ed.gov
55480.0,55480.0,0.7215,1242.0,,Quinnipiac University,Hamden,CT,United States,collegescorecard.ed.gov
50404.0,50404.0,0.6536,,,Sacred Heart University,Fairfield,CT,United States,collegescorecard.ed.gov
